LOAD_ZONE	TIMEPOINT	zone_demand_mw
Oahu	2035042304	635.749730059716
Oahu	2035042306	790.782705327187
Oahu	2035042308	875.156334541058
Oahu	2035042310	915.09840653433
Oahu	2035042312	929.058308950395
Oahu	2035042314	931.999076900054
Oahu	2035042316	924.295844031354
Oahu	2035042318	925.121487870852
Oahu	2035042320	886.755493591169
Oahu	2035042322	738.852597951048
Oahu	2035052300	668.241018137937
Oahu	2035052302	636.425203835397
Oahu	2035052304	683.858954641853
Oahu	2035052306	836.82457203965
Oahu	2035052308	922.890342186149
Oahu	2035052310	957.54447897052
Oahu	2035052312	964.51085407184
Oahu	2035052314	956.575661343058
Oahu	2035052316	926.028921506615
Oahu	2035052318	909.005399868495
Oahu	2035052320	878.376870235786
Oahu	2035052322	768.000623995642
Oahu	2035062300	656.252941110571
Oahu	2035062302	624.171018458672
Oahu	2035062304	666.316917345225
Oahu	2035062306	806.271002505352
Oahu	2035062308	899.876259350023
Oahu	2035062310	947.869462357619
Oahu	2035062312	961.331296564243
Oahu	2035062314	962.538987038642
Oahu	2035062316	946.129555184504
Oahu	2035062318	926.79992776327
Oahu	2035062320	916.019499565804
Oahu	2035062322	777.307211724853
Oahu	2035072300	691.507549927711
Oahu	2035072302	655.925448769513
Oahu	2035072304	692.885816270494
Oahu	2035072306	829.680833016589
Oahu	2035072308	917.002059877975
Oahu	2035072310	965.786758235792
Oahu	2035072312	975.686988299918
Oahu	2035072314	972.050257481013
Oahu	2035072316	962.709562907026
Oahu	2035072318	941.489941537858
Oahu	2035072320	919.826806253093
Oahu	2035072322	789.370332139628
Oahu	2035082300	686.185591163031
Oahu	2035082302	643.869116408094
Oahu	2035082304	653.059765851762
Oahu	2035082306	729.491414283495
Oahu	2035082308	857.948660927842
Oahu	2035082310	905.928287828726
Oahu	2035082312	909.646808443898
Oahu	2035082314	906.016990611846
Oahu	2035082316	900.763203892221
Oahu	2035082318	890.897122317371
Oahu	2035082320	871.738029120022
Oahu	2035082322	784.553271282244
Oahu	2035092300	660.578763456368
Oahu	2035092302	632.8635580484
Oahu	2035092304	684.165957889345
Oahu	2035092306	833.931570330478
Oahu	2035092308	914.177313502856
Oahu	2035092310	948.845109682937
Oahu	2035092312	964.988433187716
Oahu	2035092314	965.854971925346
Oahu	2035092316	950.325738204549
Oahu	2035092318	980.36075043584
Oahu	2035092320	897.099237570893
Oahu	2035092322	755.528096510046
Oahu	2035102300	657.119479848201
Oahu	2035102302	627.951006354541
Oahu	2035102304	667.313095408608
Oahu	2035102306	814.656497203089
Oahu	2035102308	889.976029285897
Oahu	2035102310	926.288200158119
Oahu	2035102312	940.029802109812
Oahu	2035102314	936.706987525252
Oahu	2035102316	923.511178378988
