load_zone	timestamp	ZoneTotalCentralDispatch	ZoneTotalDistributedDispatch	UnservedLoad	zone_demand_mw	StorageNetCharge	ChargeEVs	ShiftDemand
Oahu	2030-02-23-06:00	607.496	0	0	674.995	0	0	-67.4995
Oahu	2030-02-23-08:00	954.127	0	0	793.62	139.559	0	20.9474
Oahu	2030-02-23-10:00	1124.41	0	0	842.62	26.6935	36.6216	218.473
Oahu	2030-02-23-12:00	1258.22	0	0	844.489	26.6935	471.491	-84.4489
Oahu	2030-02-23-14:00	1197.11	0	0	841.696	155.333	0	200.079
Oahu	2030-02-23-16:00	1026.62	0	0	850.86	35.0834	0	140.676
Oahu	2030-02-23-18:00	796.374	0	0	884.86	0	0	-88.486
Oahu	2030-02-23-20:00	750.878	0	0	834.308	0	0	-83.4308
Oahu	2030-02-23-22:00	666.076	0	0	740.084	0	0	-74.0084
Oahu	2030-03-23-00:00	566.574	0	0	629.527	0	0	-62.9527
Oahu	2030-03-23-02:00	553.531	0	0	591.77	20.938	0	-59.177
Oahu	2030-03-23-04:00	539.402	0	0	599.336	0	0	-59.9336
Oahu	2030-03-23-06:00	598.433	0	0	652.792	10.9201	0	-65.2792
Oahu	2030-03-23-08:00	889.658	0	0	760.518	0	205.192	-76.0518
Oahu	2030-03-23-10:00	1255.64	0	0	794.096	61.7769	0	399.769
Oahu	2030-03-23-12:00	986.283	0	0	798.862	155.333	111.974	-79.8862
Oahu	2030-03-23-14:00	1055.08	0	0	796.499	26.6935	190.947	40.9387
Oahu	2030-03-23-16:00	1132.82	0	0	805.629	128.639	0	198.555
Oahu	2030-03-23-18:00	752.85	0	0	836.5	0	0	-83.65
Oahu	2030-03-23-20:00	730.557	0	0	811.729	0	0	-81.1729
Oahu	2030-03-23-22:00	640.437	0	0	711.597	0	0	-71.1597
Oahu	2030-04-23-00:00	553.187	0	0	614.653	0	0	-61.4653
Oahu	2030-04-23-02:00	527.115	0	0	585.683	0	0	-58.5683
Oahu	2030-04-23-04:00	562.385	0	0	624.872	0	0	-62.4872
Oahu	2030-04-23-06:00	697.395	0	0	774.884	0	0	-77.4884
Oahu	2030-04-23-08:00	1052.15	0	0	856.524	155.333	125.942	-85.6524
Oahu	2030-04-23-10:00	1223.98	0	0	895.172	155.333	0	173.479
Oahu	2030-04-23-12:00	1315.7	0	0	908.68	46.0035	157.341	203.68
Oahu	2030-04-23-14:00	1246.85	0	0	911.526	26.6935	0	308.635
Oahu	2030-04-23-16:00	1038.5	0	0	904.072	0	224.83	-90.4072
Oahu	2030-04-23-18:00	814.384	0	0	904.871	0	0	-90.4871
Oahu	2030-04-23-20:00	780.973	0	0	867.748	0	0	-86.7748
Oahu	2030-04-23-22:00	652.172	0	0	724.636	0	0	-72.4636
Oahu	2030-05-23-00:00	590.68	0	0	656.311	0	0	-65.6311
Oahu	2030-05-23-02:00	562.973	0	0	625.526	0	0	-62.5526
Oahu	2030-05-23-04:00	604.281	0	0	671.423	0	0	-67.1423
Oahu	2030-05-23-06:00	737.491	0	0	819.434	0	0	-81.9434
Oahu	2030-05-23-08:00	1193.7	0	0	902.712	0	0	290.984
Oahu	2030-05-23-10:00	1214.77	0	0	936.244	0	372.15	-93.6244
Oahu	2030-05-23-12:00	1296.49	0	0	942.984	116.737	0	236.773
Oahu	2030-05-23-14:00	1125.56	0	0	935.306	0	135.963	54.2897
Oahu	2030-05-23-16:00	944.772	0	0	905.749	0	0	39.0229
