DemandResponseSpinningReserveDown_index_1	DemandResponseSpinningReserveDown_index_2	DemandResponseSpinningReserveDown_index_3	DemandResponseSpinningReserveDown
contingency	system_wide_balancing_area	2035032302	541.385121512
contingency	system_wide_balancing_area	2035032304	548.422413031
contingency	system_wide_balancing_area	2035032306	598.143896067
contingency	system_wide_balancing_area	2035032308	418.005377239
contingency	system_wide_balancing_area	2035032310	341.636335092
contingency	system_wide_balancing_area	2035032312	734.007575235
contingency	system_wide_balancing_area	2035032314	503.825731219
contingency	system_wide_balancing_area	2035032316	740.301824778
contingency	system_wide_balancing_area	2035032318	769.015890155
contingency	system_wide_balancing_area	2035032320	745.975854468
contingency	system_wide_balancing_area	2035032322	652.839393914
contingency	system_wide_balancing_area	2035042300	562.668879574
contingency	system_wide_balancing_area	2035042302	535.723385279
contingency	system_wide_balancing_area	2035042304	572.174757054
contingency	system_wide_balancing_area	2035042306	711.704434794
contingency	system_wide_balancing_area	2035042308	514.302976838
contingency	system_wide_balancing_area	2035042310	341.745298683
contingency	system_wide_balancing_area	2035042312	836.152478055
contingency	system_wide_balancing_area	2035042314	616.649577098
contingency	system_wide_balancing_area	2035042316	831.866259628
contingency	system_wide_balancing_area	2035042318	832.609339084
contingency	system_wide_balancing_area	2035042320	798.079944232
contingency	system_wide_balancing_area	2035042322	664.967338156
contingency	system_wide_balancing_area	2035052300	601.416916324
contingency	system_wide_balancing_area	2035052302	572.782683452
contingency	system_wide_balancing_area	2035052304	615.473059178
contingency	system_wide_balancing_area	2035052306	753.142114836
contingency	system_wide_balancing_area	2035052308	353.670164545
contingency	system_wide_balancing_area	2035052310	404.692004798
contingency	system_wide_balancing_area	2035052312	868.059768665
contingency	system_wide_balancing_area	2035052314	860.918095209
contingency	system_wide_balancing_area	2035052316	756.626908971
contingency	system_wide_balancing_area	2035052318	818.104859882
contingency	system_wide_balancing_area	2035052320	790.539183212
contingency	system_wide_balancing_area	2035052322	691.200561596
contingency	system_wide_balancing_area	2035062300	590.627647
contingency	system_wide_balancing_area	2035062302	561.753916613
contingency	system_wide_balancing_area	2035062304	599.685225611
contingency	system_wide_balancing_area	2035062306	725.643902255
contingency	system_wide_balancing_area	2035062308	601.580594023
contingency	system_wide_balancing_area	2035062310	490.864585521
contingency	system_wide_balancing_area	2035062312	426.635729004
contingency	system_wide_balancing_area	2035062314	866.285088335
contingency	system_wide_balancing_area	2035062316	851.516599666
contingency	system_wide_balancing_area	2035062318	834.119934987
contingency	system_wide_balancing_area	2035062320	824.417549609
contingency	system_wide_balancing_area	2035062322	699.576490552
contingency	system_wide_balancing_area	2035072300	536.845588119
contingency	system_wide_balancing_area	2035072302	590.332903893
contingency	system_wide_balancing_area	2035072304	623.597234643
contingency	system_wide_balancing_area	2035072306	746.712749715
